company_location,total_salary,total_appearances,average_salary
Algeria,100000,1,100000.0
Argentina,62000,2,31000.0
Armenia,50000,1,50000.0
Australia,770468,9,85607.55555555556
Austria,288823,4,72205.75
Belgium,307459,4,76864.75
Bolivia,7500,1,7500.0
Brazil,482688,13,37129.846153846156
Canada,8817599,66,133599.98484848486
Central African Republic,97218,2,48609.0
Chile,40038,1,40038.0
China,100000,1,100000.0
Colombia,259844,4,64961.0
Croatia,227903,3,75967.66666666667
Czech Republic,69999,1,69999.0
Denmark,74505,2,37252.5
Egypt,22800,1,22800.0
Estonia,63312,1,63312.0
Finland,63040,1,63040.0
France,1934852,29,66719.03448275862
Germany,3417255,42,81363.21428571429
Ghana,30000,1,30000.0
Greece,579840,11,52712.72727272727
Hong Kong,65062,1,65062.0
Hungary,53419,2,26709.5
India,910178,40,22754.45
Indonesia,68416,2,34208.0
Iran,100000,1,100000.0
Ireland,632295,6,105382.5
Israel,542893,2,271446.5
Italy,96898,3,32299.333333333332
Japan,516764,5,103352.8
Kenya,9272,1,9272.0
Latvia,231786,4,57946.5
Lithuania,189624,2,94812.0
Luxembourg,131828,3,43942.666666666664
Malaysia,40000,1,40000.0
Malta,28369,1,28369.0
Mexico,911511,9,101279.0
Netherlands,923598,12,76966.5
Nigeria,60000,2,30000.0
Pakistan,20000,2,10000.0
Philippines,50000,1,50000.0
Poland,108682,3,36227.333333333336
Portugal,427273,9,47474.77777777778
Puerto Rico,670000,4,167500.0
Romania,53654,1,53654.0
Russia,106000,1,106000.0
Singapore,65257,1,65257.0
Slovenia,148228,3,49409.333333333336
Spain,4306921,75,57425.613333333335
Switzerland,402728,4,100682.0
Thailand,54193,2,27096.5
Turkey,95290,5,19058.0
Ukraine,13400,1,13400.0
United Arab Emirates,185000,2,92500.0
United Kingdom,13040187,151,86358.85430463577
United States of America,434410220,2867,151520.83013603068
Vietnam,12000,1,12000.0
